"carrier","language","Day of week","date","Time","q1","Extension","q2","Help needed","completed"
"Vodacom","English","Friday","2016-12-23","19:14","Welcome to Vimba Helpline - Diepsloot. Please type the Diepsloot extension (1 to 13) you are in:",1,"Choose one:","I want to help someone who has been raped",1
"MTN","IsisZulu","Friday","2016-12-23","14:13","Siyanamukhela kwaVimba Helpline Diepsloot:Ukuphi nendawo (khetha 1 - 13)",6,"Kheta eyodwa. Ngicela usizo ngoba:","Ngishayiwe noma ngihlukumeziwe",1
"MTN","IsisZulu","Friday","2016-12-23","10:16","Siyanamukhela kwaVimba Helpline Diepsloot:Ukuphi nendawo (khetha 1 - 13)",1,"Kheta eyodwa. Ngicela usizo ngoba:","Ngishayiwe noma ngihlukumeziwe",1
"MTN","English","Friday","2016-12-23","08:15","Welcome to Vimba Helpline - Diepsloot. Please type the Diepsloot extension (1 to 13) you are in:",12,"Choose one:","I want to help someone who has been beaten/abused",1
"CellC","English","Saturday","2016-12-24","02:49","Welcome to Vimba Helpline - Diepsloot. Please type the Diepsloot extension (1 to 13) you are in:",13,"Choose one:","I want to help someone who has been raped",1
"Vodacom","Sepedi","Sunday","2016-12-25","10:58","Le amogetswe go Vimba Helpline Diepsloot:Re kgopela o re botse mo o lego, kgetha (1 - 13)",1,"Kgetha e tee. Ke nyaka thuso gobane:","Nkile ka bethwa kaba ka tlhekefatswa.",1
"Vodacom","English","Sunday","2016-12-25","08:51","Welcome to Vimba Helpline - Diepsloot. Please type the Diepsloot extension (1 to 13) you are in:",1,"Choose one:","I want to help someone who has been beaten/abused",1
"Vodacom","English","Monday","2016-12-26","13:37","Welcome to Vimba Helpline - Diepsloot. Please type the Diepsloot extension (1 to 13) you are in:",5,"Choose one:","I want to help someone who has been beaten/abused",1
"MTN","English","Monday","2016-12-26","12:00","Welcome to Vimba Helpline - Diepsloot. Please type the Diepsloot extension (1 to 13) you are in:",5,"Choose one:","I want to help someone who has been beaten/abused",1
"MTN","English","Monday","2016-12-26","05:56","Welcome to Vimba Helpline - Diepsloot. Please type the Diepsloot extension (1 to 13) you are in:",6,"Choose one:","I want to help someone who has been raped",1
"CellC","English","Tuesday","2016-12-27","17:07","Welcome to Vimba Helpline - Diepsloot. Please type the Diepsloot extension (1 to 13) you are in:",4,"Choose one:","I want to help someone who has been beaten/abused",1
"Vodacom","IsisZulu","Wednesday","2016-12-28","15:33","Siyanamukhela kwaVimba Helpline Diepsloot:Ukuphi nendawo (khetha 1 - 13)",1,"Kheta eyodwa. Ngicela usizo ngoba:","Ngifuna ukusiza owadlengulwa",1
"CellC","English","Wednesday","2016-12-28","11:59","Welcome to Vimba Helpline - Diepsloot. Please type the Diepsloot extension (1 to 13) you are in:",2,"Choose one:","I have been beaten/abused",1
"CellC","English","Wednesday","2016-12-28","09:51","Welcome to Vimba Helpline - Diepsloot. Please type the Diepsloot extension (1 to 13) you are in:",11,"Choose one:","I want to help someone who has been beaten/abused",1
"MTN","English","Thursday","2016-12-29","16:47","Welcome to Vimba Helpline - Diepsloot. Please type the Diepsloot extension (1 to 13) you are in:",5,"Choose one:","I have been beaten/abused",1
"Vodacom","English","Thursday","2016-12-29","11:58","Invalid extension, please enter the extension you are in from 1 to 13",13,"Choose one:","I want to help someone who has been beaten/abused",1
"Vodacom","English","Thursday","2016-12-29","11:53","Welcome to Vimba Helpline - Diepsloot. Please type the Diepsloot extension (1 to 13) you are in:",1,"Choose one:","I want to help someone who has been raped",1
"MTN","English","Friday","2016-12-30","21:03","Welcome to Vimba Helpline - Diepsloot. Please type the Diepsloot extension (1 to 13) you are in:",5,"Choose one:","I want to help someone who has been beaten/abused",1
"MTN","IsisZulu","Friday","2016-12-30","19:44","Siyanamukhela kwaVimba Helpline Diepsloot:Ukuphi nendawo (khetha 1 - 13)",13,"Kheta eyodwa. Ngicela usizo ngoba:","Ngishayiwe noma ngihlukumeziwe",1
"Vodacom","English","Saturday","2016-12-31","13:19","Welcome to Vimba Helpline - Diepsloot. Please type the Diepsloot extension (1 to 13) you are in:",2,"Choose one:","I have been raped",1
